ChEMBLID,Name,SMILES,MolecularWeight,ALogP,HBondDonors,HBondAcceptors,TPSA,RotatableBonds,MaxPhase_1,MaxPhase_2,MaxPhase_3,Source
CHEMBL7413,METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,262.31,1.31,1,3,66.48,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL41,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.33,4.44,1,2,21.26,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL443,SULFAMETHOXAZOLE,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,253.28,1.37,2,5,98.22,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL42,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83,3.72,1,4,30.87,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL445,NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21,263.38,3.83,1,1,12.03,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL449,BUTABARBITAL,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,212.25,0.79,2,3,75.27,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL450,METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O,198.22,0.5,1,3,66.48,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL451,CHLORDIAZEPOXIDE,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,299.76,2.95,1,3,50.46,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL266349,MELAGATRAN,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,429.52,0.81,5,5,148.61,9,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL452,CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,315.72,3.04,1,4,84.6,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL453,SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,267.31,1.67,2,5,98.22,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL454,BUTALBITAL,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,224.26,0.96,2,3,75.27,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL455,SULFACETAMIDE,CC(=O)NS(=O)(=O)c1ccc(N)cc1,214.25,0.09,2,4,89.26,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL43,AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,393.47,4.51,2,5,80.32,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL456,ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,303.14,3.61,1,3,63.6,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL457,GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,250.34,3.57,1,2,46.53,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL45,MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,232.28,1.86,2,2,54.12,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL46,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,293.37,3.13,0,4,39.82,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL49,BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,385.51,2.09,0,6,69.64,6,52,46,48,ChEMBL CC-BY-SA 3.0
